Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards,-9999
346,Zeke Nnaji,24,DEN,PF,57,4,608,.496,.596,.327,.557,.614,.574,.312,.369,106,109,91,103,79,100,128,88,3.9,-0.8,,nnajize01
347,Kessler Edwards,24,DAL,SF,40,18,608,.496,.556,.407,.578,.923,.597,.096,.400,106,102,113,106,118,104,40,95,9.4,5.8,,edwarke02
348,Pat Connaughton,32,MIL,SG,41,1,603,.469,.594,.321,.542,.774,.567,.175,.458,100,109,89,100,99,98,72,109,-0.2,-3.7,,connapa01
349,Ajay Mitchell,22,OKC,SG,36,1,597,.495,.548,.383,.557,.829,.587,.190,.326,106,101,106,103,106,102,78,77,5.2,4.2,,mitchaj01
350,Brandon Ingram,27,NOP,SF,18,18,595,.465,.514,.374,.530,.855,.560,.165,.345,100,94,104,98,110,97,68,82,-8.7,-11.6,,ingrabr01
351,Jared McCain,20,PHI,SG,23,8,592,.460,.532,.383,.553,.875,.589,.204,.485,98,98,106,102,112,102,84,115,5.4,7.9,,mccaija01
352,Cam Reddish,25,LAL,SF,33,8,589,.404,.532,.277,.473,.615,.498,.277,.500,87,98,77,87,79,86,114,119,-13.1,-16.5,,reddica01
353,Jae'Sean Tate,29,HOU,SF,52,2,588,.473,.529,.348,.527,.681,.557,.318,.311,101,97,97,97,87,97,131,74,-4.7,-6.4,,tateja01
354,Olivier-Maxence Prosper,22,DAL,PF,52,4,584,.402,.472,.235,.437,.645,.484,.437,.293,86,87,65,80,83,84,180,70,-37.0,-38.0,,prospol01
355,Jarred Vanderbilt,25,LAL,PF,36,2,581,.488,.562,.281,.525,.556,.537,.298,.264,104,103,78,97,71,93,123,63,-4.4,-10.7,,vandeja01
356,Joel Embiid,30,PHI,C,19,19,574,.444,.492,.299,.481,.882,.580,.537,.244,95,90,83,89,113,101,221,58,-39.1,3.3,,embiijo01
357,Monte Morris,29,PHO,PG,45,0,571,.426,.477,.360,.505,.857,.546,.215,.441,91,88,100,93,110,95,89,105,-14.8,-13.0,,morrimo01
358,Moritz Wagner,27,ORL,C,30,1,564,.562,.649,.360,.616,.718,.649,.442,.301,120,119,100,114,92,113,182,72,36.6,43.3,,wagnemo01
359,Malcolm Brogdon,32,WAS,PG,24,13,564,.433,.478,.286,.467,.880,.544,.383,.233,93,88,79,86,113,94,158,55,-36.7,-18.2,,brogdma01
360,John Konchar,28,MEM,SG,46,4,558,.451,.621,.371,.577,.875,.592,.088,.681,96,114,103,106,112,103,36,162,6.2,3.1,,konchjo01
361,Dwight Powell,33,DAL,C,55,3,551,.689,.714,.400,.705,.651,.713,.705,.082,147,131,111,130,84,124,290,19,19.7,21.9,,poweldw01
362,Dillon Jones,23,OKC,SF,54,3,551,.383,.500,.254,.444,.607,.464,.211,.474,82,92,71,82,78,81,87,112,-26.5,-32.5,,jonesdi01
363,Jordan Goodwin,26,LAL,PG,29,5,543,.438,.487,.382,.528,.818,.541,.076,.472,94,89,106,97,105,94,31,112,-4.4,-10.5,,goodwjo01
364,Richaun Holmes,31,WAS,PF,31,7,534,.647,.662,.000,.647,.833,.695,.432,.022,139,121,0,119,107,121,178,5,29.0,39.4,,holmeri01
365,Mouhamed Gueye,22,ATL,PF,33,28,533,.421,.567,.259,.482,.762,.520,.246,.474,90,104,72,89,98,90,101,112,-20.7,-21.4,,gueyemo02
366,Bismack Biyombo,32,SAS,C,28,26,528,.588,.588,,.588,.400,.576,.219,.000,126,108,,108,51,100,90,0,10.2,0.0,,biyombi01
367,Jaylen Clark,23,MIN,SG,40,4,522,.467,.493,.431,.558,.784,.598,.308,.425,100,90,120,103,101,104,127,101,3.7,6.0,,clarkja02
368,Rob Dillingham,20,MIN,PG,49,1,516,.441,.496,.338,.500,.533,.503,.071,.351,94,91,94,92,68,87,29,83,-18.2,-31.8,,dilliro01
369,Colby Jones,22,2TM,SG,39,0,515,.457,.538,.327,.519,.657,.544,.271,.380,98,99,91,96,84,94,112,90,-6.1,-9.4,,jonesco02
369,Colby Jones,22,SAC,SG,24,0,130,.423,.438,.400,.500,,.500,.000,.385,91,80,111,92,,87,0,91,-2.2,-4.0,,jonesco02
369,Colby Jones,22,WAS,SG,15,0,385,.466,.563,.308,.524,.657,.553,.340,.379,100,103,85,97,84,96,140,90,-3.9,-5.4,,jonesco02
370,Craig Porter Jr.,24,CLE,PG,51,1,513,.514,.554,.438,.589,.719,.610,.229,.343,110,102,121,109,92,106,94,81,12.9,10.4,,portecr01
371,Tristan Vukcevic,21,WAS,C,35,1,513,.496,.586,.373,.574,.776,.608,.277,.421,106,107,103,106,100,105,114,100,15.2,17.2,,vukcetr01
372,Elfrid Payton,30,2TM,PG,24,9,511,.328,.336,.167,.332,.571,.340,.057,.049,70,62,46,61,73,59,24,12,-51.5,-59.1,,paytoel01
372,Elfrid Payton,30,NOP,PG,18,7,388,.366,.379,.167,.371,.571,.380,.069,.059,78,70,46,68,73,66,29,14,-34.7,-40.9,,paytoel01
372,Elfrid Payton,30,CHO,PG,6,2,123,.143,.143,,.143,,.143,.000,.000,31,26,,26,,25,0,0,-16.8,-18.2,,paytoel01
